current ID	new ID	new Name	new category ID	new category	secondary tags
vocalzoid	vocalzoid	Vocalzoid	voice	Voice	Voice, Synthesizer
lumber	lumber	Lumber Loops	audio-effect	Audio Effect	Looper
micmic	micmic	L-system Delay	audio-effect	Audio Effect	Fractal, Recursive
graph-delay	graph-delay	Graph Delay	audio-effect	Audio Effect	Graph
micromorph	micromorph	Micromorph	wip	Work In Progress	
shepard-risset	shepard-risset	Shepard–Risset	infinite-illusion	Infinite Illusion	Synthesizer, Shepard, Risset
slippery-resynthesis	slippery-resynthesis	Slippery Resynthesis	infinite-illusion	Infinite Illusion	Audio Effect, Shepard, Risset, FFT, Resynthesis
drum-roll-please	drum-roll-please	Drum Roll Please!	infinite-illusion	Infinite Illusion	Shepard, Risset, Drum Machine, Sequencer
ouroborousel	ouroborousel	Ouroborousel	infinite-illusion	Infinite Illusion	Shepard, Risset, Drum Machine, Sequencer
ourorourobouroboros	ourorourobouroboros	Ourorourobouroboros	infinite-illusion	Infinite Illusion	Shepard, Risset, Drum Machine, Sequencer
ouroboros	ouroboros	Ouroboros	infinite-illusion	Infinite Illusion	Shepard, Risset, Drum Machine, Sequencer
ouroboros-borealis	ouroboros-borealis	Ouroboros Borealis	infinite-illusion	Infinite Illusion	Shepard, Risset, Drum Machine, Sequencer
sandy-syrup-delay	sandy-syrup-delay	Sandy Syrup Delay	infinite-illusion	Infinite Illusion	Shepard, Risset, Audio Effect, Delay
candy-coil-delay	candy-coil-delay	Candy Coil Delay	infinite-illusion	Infinite Illusion	Shepard, Risset, Audio Effect, Delay
